AccelerometerX,AccelerometerY,AccelerometerZ,MagneticX,MagneticY,MagneticZ,Light,RotationX,RotationY,RotationZ,OrientationX,OrientationY,OrientatoinZ,BSSID1,BSSID2,BSSID3,BSSID4,BSSID5,BSSID6,BSSID7,BSSID8,BSSID9,BSSID10,BSSID11,BSSID12,BSSID13,BSSID14,BSSID15,BSSID16,BSSID17,BSSID18,BSSID19,BSSID20,BSSID21,BSSID22,BSSID23,BSSID24,BSSID25,BSSID26,BSSID27,BSSID28,BSSID29,BSSID30,BSSID31,BSSID32,BSSID33,BSSID34,BSSID35,BSSID36,BSSID37,BSSID38,BSSID39,BSSID40,BSSID41,BSSID42,BSSID43,BSSID44,BSSID45,BSSID46,BSSID47,BSSID48,BSSID49,BSSID50,BSSID51,BSSID52,BSSID53,BSSID54,BSSID55,BSSID56,BSSID57,BSSID58,BSSID59,BSSID60,BSSID61,BSSID62,BSSID63,BSSID64,BSSID65,BSSID66,BSSID67,BSSID68,BSSID69,BSSID70,BSSID71,BSSID72,BSSID73,BSSID74,BSSID75,BSSID76,BSSID77,BSSID78,BSSID79,BSSID80,BSSID81,BSSID82,BSSID83,BSSID84,BSSID85,BSSID86,BSSID87,BSSID88,BSSID89,BSSID90,BSSID91,BSSID92,BSSID93,BSSID94,BSSID95,BSSID96,BSSID97,BSSID98,BSSID99,BSSID100,BSSID101,BSSID102,BSSID103,BSSID104,BSSID105,BSSID106,BSSID107,BSSID108,BSSID109,BSSID110,BSSID111,BSSID112,BSSID113,BSSID114,BSSID115,BSSID116,BSSID117,BSSID118,BSSID119,BSSID120,BSSID121,BSSID122,BSSID123,BSSID124,BSSID125,BSSID126,BSSID127,BSSID128,BSSID129,BSSID130,BSSID131,BSSID132,BSSID133,BSSID134,BSSID135,BSSID136,BSSID137,BSSID138,BSSID139,BSSID140,BSSID141,BSSID142,BSSID143,BSSID144,BSSID145,BSSID146,BSSID147,BSSID148,BSSID149,BSSID150,BSSID151,BSSID152,BSSID153,BSSID154,BSSID155,BSSID156,Latitude,Longitude,LocationAccuracy,xPosition,yPosition
-0.17652,1.255251,9.943943,8.25,-28.625,-46.6875,185,0,0,0,-2.82352,-0.125549,0.01775,0,0,0,0,0,0,0,0,0,0,0,0,-93,-92,-93,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-85,-85,-85,0,0,0,0,0,0,0,0,0,0,0,0,41.601379,-93.653924,6,0.5,0.5
-0.196133,0.853179,10.022396,8.8125,-25,-51.0625,487,0,0,0,-2.778585,-0.084906,0.019567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-81,-81,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-86,0,0,0,0,0,0,0,0,0,0,0,0,41.601378,-93.653926,6,1.5,0.5
-0.20594,0.931632,10.002783,12.9375,-26.5625,-51.3125,356,0,0,0,-2.640106,-0.09285,0.020585,0,0,0,0,0,0,0,0,0,0,0,0,-90,-92,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-80,-80,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-83,-84,-83,0,0,0,0,0,0,0,0,0,0,0,0,41.601374,-93.653927,6,2.5,0.5
-0.078453,0.774725,10.061623,12.875,-24.6875,-50.6875,282,0,0,0,-2.599404,-0.076844,0.007797,0,0,0,0,0,0,0,0,0,0,0,0,-90,-92,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,-64,-64,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-89,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,41.601373,-93.653926,6,3.5,0.5
-0.166713,0.804145,10.081236,12.25,-27.6875,-53.0625,434,0,0,0,-2.688681,-0.079587,0.016535,0,0,0,0,0,0,0,0,0,0,0,0,-90,-92,-92,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,-90,-93,0,0,0,0,0,0,0,0,0,0,0,0,-65,-65,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-89,-89,-89,0,0,0,0,0,0,0,0,0,0,0,0,41.601371,-93.653925,6,4.5,0.5
-0.098066,0.784532,10.032203,10.5,-27.3125,-52.0625,375,0,0,0,-2.73438,-0.078039,0.009775,0,0,0,0,0,0,0,0,0,0,0,0,-88,-88,-88,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,-71,-71,-71,-65,0,0,0,0,-89,-89,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-82,-82,-82,0,0,0,0,0,0,0,0,0,0,0,0,41.60137,-93.653925,8,5.5,0.5
-0.215746,0.696272,10.110656,11.25,-26.625,-49.9375,307,0,0,0,-2.726691,-0.068741,0.021335,0,0,0,0,0,0,0,0,0,0,0,0,-93,-93,-93,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86,-86,-85,0,0,0,0,0,0,0,0,0,0,0,0,-69,-67,-67,-69,0,0,0,0,-89,-89,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-85,-85,-85,0,0,0,0,0,0,0,0,0,0,0,0,41.60137,-93.653925,12,6.5,0.5
-0.304006,0.578592,10.061623,12.6875,-26.625,-49,487,0,0,0,-2.700852,-0.057415,0.030205,0,0,0,0,0,0,0,0,0,0,0,0,-86,-88,-86,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-93,-86,-92,0,0,0,0,0,0,0,0,0,0,0,0,-66,-66,-66,-66,0,0,0,0,-89,-89,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,-89,-89,-88,-89,0,0,0,0,0,0,0,0,0,0,0,0,41.601371,-93.653928,8,7.5,0.5
-0.26478,0.588399,9.98317,11.375,-27.625,-51.4375,370,0,0,0,-2.754318,-0.05885,0.026516,0,0,0,0,0,0,0,0,0,0,0,0,-85,-86,-85,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-93,-86,-92,0,0,0,0,0,0,0,0,0,0,0,0,-69,-69,-64,-69,0,0,0,0,-90,-90,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,-89,-86,-88,-89,0,0,0,0,0,0,0,0,0,0,0,0,41.601372,-93.65393,6,8.5,0.5
-0.009807,0.647239,10.208722,7.3125,-27.4375,-52.75,346,0,0,0,-2.848286,-0.063316,0.000961,0,0,0,0,0,0,0,0,0,0,0,0,-88,-86,-88,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-93,-89,-92,0,0,0,0,0,0,0,0,0,0,0,0,-72,-72,-72,-72,0,0,0,0,-90,-90,-90,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,-88,-86,-88,-89,0,0,0,0,0,0,0,0,0,0,0,0,41.601372,-93.653931,6,9.5,0.5
